"ID","AGE","AGECAT","CPLDIFED","DEGREE","EDUC","EMAILHRS","FINRELA","HAPMAR","HAPPY","HRS1","HUSBEDUC","HUSBFT","HUSBHR","INCOMDOL","INCOME","LIFE","MAEDUC","MARITAL","NDEGREE","NETCAT","NETHRS","PAEDUC","PARTYID","POSTLIFE","PRES96","PRTDIFED","RICHWORK","RINCDOL","RINCOME","SATJOB","SEX","SIBS","SPDEG","SPEDUC","SPHRS1","SPWRKSTA","SRCHENG2","TVHOURS","USECOMP","USEMAIL","USENET","USEWEB","VOTE96","WEBHRS","WIFEDUC","WIFEFT","WIFEHR","WRKSTAT","ZODIAC"
"13",14,51,"50-59",1,"Bachelor",17,0.166666666666667,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",50,17,"Yes",50,100000,22,"EXCITING",17,"MARRIED","junior college or more","One hour or less",0.333333333333333,6,"STRONG REPUBLICAN",NA,"DOLE",-11,"STOP WORKING",55000,19,"VERY SATISFIED","Male",2,"BACHELOR",16,NA,"KEEPING HOUSE",NA,NA,"Yes","Yes","Yes","Yes","VOTED",0.166666666666667,16,"No",NA,"WORKING FULLTIME","PISCES"
"14",16,40,"40-49",4,"High school",16,NA,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",48,16,"Yes",48,55000,19,NA,10,"MARRIED","high school","Not Internet user",NA,10,"STRONG DEMOCRAT","YES","CLINTON",0,NA,27500,15,"MOD. SATISFIED","Male",8,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,7,"Yes",NA,"No","No","VOTED",-1,12,"Yes",40,"WORKING FULLTIME","CAPRICORN"
"15",18,44,"40-49",NA,"High school",12,1,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,27500,15,NA,12,"NEVER MARRIED","high school","1+ to  4 hours",2,NA,"INDEPENDENT",NA,NA,NA,NA,27500,15,"MOD. SATISFIED","Male",3,NA,NA,NA,NA,NA,3,"Yes","Yes","Yes","Yes",NA,1,NA,NA,NA,"WORKING FULLTIME","GEMINI"
"16",19,40,"40-49",-3,"Less than HS",8,NA,"BELOW AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,8,"Yes",50,13750,10,NA,0,"MARRIED","Lt than high school","Not Internet user",NA,NA,"NOT STR DEMOCRAT","YES","CLINTON",NA,NA,13750,10,"MOD. SATISFIED","Male",5,"LT HIGH SCHOOL",11,NA,"KEEPING HOUSE",NA,3,"No","No","No","No","VOTED",-1,11,"No",NA,"WORKING FULLTIME","CANCER"
"17",21,48,"40-49",0,"Bachelor",16,0.5,"FAR ABOVE AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,16,"Yes",50,110000,23,NA,12,"MARRIED","junior college or more","4+ to 10 hours",6.5,NA,"IND,NEAR DEM","YES","CLINTON",NA,NA,110000,23,"VERY SATISFIED","Male",1,"BACHELOR",16,NA,"KEEPING HOUSE","EBAY",1,"Yes","Yes","Yes","Yes","VOTED",6,16,"No",NA,"WORKING FULLTIME","AQUARIUS"
"18",22,49,"40-49",-1,"Bachelor",17,7,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",40,16,"Yes",70,110000,23,"EXCITING",16,"MARRIED","junior college or more","More than 10",14,16,"STRONG REPUBLICAN",NA,"DOLE",0,"STOP WORKING",NA,24,"VERY SATISFIED","Female",0,"BACHELOR",16,70,"WORKING FULLTIME","YAHOO",2,"Yes","Yes","Yes","Yes","VOTED",7,17,"Yes",40,"WORKING FULLTIME","CANCER"
"19",32,34,"30-39",NA,"Bachelor",17,NA,"AVERAGE",NA,"VERY HAPPY",40,NA,"Yes",40,NA,24,"ROUTINE",NA,"MARRIED","junior college or more","Not Internet user",NA,NA,"NOT STR DEMOCRAT",NA,NA,NA,"CONTINUE WORKING",NA,24,"VERY SATISFIED","Female",7,NA,NA,40,"WORKING FULLTIME",NA,NA,"No","No","No","No","DID NOT VOTE",-1,17,"Yes",40,"WORKING FULLTIME",NA
"20",34,37,"30-39",NA,"High school",12,0.25,"AVERAGE",NA,"PRETTY HAPPY",60,NA,NA,NA,82500,21,"ROUTINE",15,"NEVER MARRIED","high school","1+ to  4 hours",1.41666666666667,NA,"INDEPENDENT",NA,"CLINTON",NA,"CONTINUE WORKING",27500,15,"VERY SATISFIED","Male",2,NA,NA,NA,NA,"YAHOO",NA,"Yes","Yes","Yes","Yes","VOTED",1.16666666666667,NA,NA,NA,"WORKING FULLTIME","ARIES"
"21",35,22,"18-29",-1,"High school",13,NA,"AVERAGE","PRETTY HAPPY","VERY HAPPY",47,13,"Yes",47,NA,NA,"EXCITING",NA,"MARRIED","high school",NA,NA,10,"IND,NEAR DEM","YES",NA,NA,"CONTINUE WORKING",11250,9,"VERY SATISFIED","Male",1,"HIGH SCHOOL",14,40,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"INELIGIBLE",-1,14,"Yes",40,"WORKING FULLTIME","SAGITTARIUS"
"22",36,33,"30-39",NA,"Less than HS",8,NA,NA,NA,"NOT TOO HAPPY",52,NA,NA,NA,21250,13,"ROUTINE",2,"NEVER MARRIED","Lt than high school",NA,NA,2,"NOT STR DEMOCRAT","YES",NA,0,"CONTINUE WORKING",21250,13,"VERY SATISFIED","Female",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INELIGIBLE",-1,NA,NA,NA,"WORKING FULLTIME","LIBRA"
