"ID","AGE","AGECAT","CPLDIFED","DEGREE","EDUC","EMAILHRS","FINRELA","HAPMAR","HAPPY","HRS1","HUSBEDUC","HUSBFT","HUSBHR","INCOMDOL","INCOME","LIFE","MAEDUC","MARITAL","NDEGREE","NETCAT","NETHRS","PAEDUC","PARTYID","POSTLIFE","PRES96","PRTDIFED","RICHWORK","RINCDOL","RINCOME","SATJOB","SEX","SIBS","SPDEG","SPEDUC","SPHRS1","SPWRKSTA","SRCHENG2","TVHOURS","USECOMP","USEMAIL","USENET","USEWEB","VOTE96","WEBHRS","WIFEDUC","WIFEFT","WIFEHR","WRKSTAT","ZODIAC"
"379",692,60,"60-89",0,"High school",12,NA,"BELOW AVERAGE","VERY HAPPY","PRETTY HAPPY",40,12,"No",NA,32500,16,"ROUTINE",16,"MARRIED","high school",NA,NA,3,"STRONG DEMOCRAT","YES","CLINTON",-13,"STOP WORKING",13750,10,"MOD. SATISFIED","Female",2,"HIGH SCHOOL",12,NA,"RETIRED",NA,NA,NA,NA,NA,NA,"VOTED",-1,12,"Yes",40,"WORKING FULLTIME","AQUARIUS"
"380",693,21,"18-29",-2,"Junior college",14,NA,"AVERAGE","VERY HAPPY","PRETTY HAPPY",50,12,"No",NA,16250,11,"EXCITING",12,"MARRIED","junior college or more","Not Internet user",NA,14,"STRONG REPUBLICAN","YES",NA,2,"CONTINUE WORKING",2000,2,"A LITTLE DISSAT","Female",3,"HIGH SCHOOL",12,NA,"KEEPING HOUSE",NA,3,"Yes","No","No","No","INELIGIBLE",-1,14,"Yes",50,"WORKING FULLTIME","AQUARIUS"
"381",695,49,"40-49",2,"High school",14,1,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,14,"Yes",50,55000,19,"EXCITING",8,"MARRIED","high school","4+ to 10 hours",6,12,"NOT STR REPUBLICAN",NA,NA,4,"CONTINUE WORKING",45000,18,"VERY SATISFIED","Male",3,"HIGH SCHOOL",12,NA,"KEEPING HOUSE","YAHOO",NA,"Yes","Yes","Yes","Yes","DID NOT VOTE",5,12,"No",NA,"WORKING FULLTIME","LIBRA"
"382",696,37,"30-39",-2,"Graduate",18,1,"AVERAGE","PRETTY HAPPY","VERY HAPPY",55,16,"Yes",40,82500,21,"EXCITING",14,"MARRIED","junior college or more","1+ to  4 hours",3,NA,"NOT STR DEMOCRAT","YES","PEROT",NA,"CONTINUE WORKING",37500,17,"VERY SATISFIED","Female",1,"BACHELOR",16,40,"WORKING FULLTIME",NA,0,"Yes","Yes","Yes","Yes","VOTED",2,18,"Yes",55,"WORKING FULLTIME","LIBRA"
"383",697,61,"60-89",1,"High school",13,NA,"BELOW AVERAGE","VERY HAPPY","VERY HAPPY",55,13,"Yes",55,27500,15,"EXCITING",3,"MARRIED","high school","Not Internet user",NA,12,"INDEPENDENT","YES",NA,9,"STOP WORKING",13750,10,"VERY SATISFIED","Male",3,"HIGH SCHOOL",12,NA,"KEEPING HOUSE",NA,3,"No","No","No","No","DID NOT VOTE",-1,12,"No",NA,"WORKING FULLTIME","LEO"
"384",700,23,"18-29",NA,"High school",13,NA,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,18750,12,NA,12,"NEVER MARRIED","high school","Not Internet user",NA,12,"INDEPENDENT",NA,NA,0,NA,18750,12,"MOD. SATISFIED","Female",5,NA,NA,NA,NA,NA,3,"Yes","No","No","No","INELIGIBLE",-1,NA,NA,NA,"WORKING FULLTIME","LEO"
"385",701,62,"60-89",NA,"Less than HS",11,NA,"AVERAGE",NA,"NOT TOO HAPPY",40,NA,NA,NA,3500,3,"ROUTINE",8,"DIVORCED","Lt than high school",NA,NA,12,"NOT STR DEMOCRAT","NO","CLINTON",4,"STOP WORKING",3500,3,"VERY DISSATISFIED","Female",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOTED",-1,NA,NA,NA,"WORKING FULLTIME","SCORPIO"
"386",703,47,"40-49",NA,"High school",12,NA,"ABOVE AVERAGE",NA,"PRETTY HAPPY",48,NA,NA,NA,45000,18,"EXCITING",8,"DIVORCED","high school","Not Internet user",NA,12,"STRONG DEMOCRAT","YES","CLINTON",4,"STOP WORKING",45000,18,"VERY SATISFIED","Male",4,NA,NA,NA,NA,NA,3,"No","No","No","No","VOTED",-1,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"387",704,40,"40-49",NA,"Graduate",17,15,"BELOW AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,2000,2,NA,12,"NEVER MARRIED","junior college or more","More than 10",35,8,"STRONG DEMOCRAT","NO","CLINTON",-4,NA,2000,2,"MOD. SATISFIED","Female",1,NA,NA,NA,NA,"GOOGLE",2,"Yes","Yes","Yes","Yes","VOTED",20,NA,NA,NA,"WORKING FULLTIME","LIBRA"
"388",707,26,"18-29",NA,"Junior college",14,NA,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,23750,14,NA,16,"NEVER MARRIED","junior college or more",NA,NA,NA,"INDEPENDENT","YES",NA,NA,NA,23750,14,"VERY SATISFIED","Male",1,NA,NA,NA,NA,NA,1,"Yes",NA,NA,NA,"DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","TAURUS"
"389",709,57,"50-59",0,"Junior college",14,NA,"BELOW AVERAGE","PRETTY HAPPY","PRETTY HAPPY",40,14,"Yes",40,37500,17,NA,12,"MARRIED","junior college or more","Not Internet user",NA,12,"OTHER PARTY","YES",NA,0,NA,21250,13,"VERY SATISFIED","Male",2,"JUNIOR COLLEGE",14,35,"WORKING FULLTIME",NA,3,"Yes","No","No","No","DID NOT VOTE",-1,14,"Yes",35,"WORKING FULLTIME","PISCES"
"390",710,33,"30-39",2,"High school",13,1,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,15,"Yes",50,37500,17,"ROUTINE",15,"MARRIED","high school","1+ to  4 hours",2,14,"NOT STR DEMOCRAT","YES","CLINTON",-1,"CONTINUE WORKING",18750,12,"MOD. SATISFIED","Female",2,"JUNIOR COLLEGE",15,50,"WORKING FULLTIME",NA,1,"Yes","Yes","Yes","Yes","VOTED",1,13,"Yes",50,"WORKING FULLTIME","ARIES"
"391",712,19,"18-29",NA,"High school",9,8,"AVERAGE",NA,"VERY HAPPY",53,NA,NA,NA,9000,8,"ROUTINE",12,"NEVER MARRIED","high school","More than 10",14,15,"NOT STR DEMOCRAT","YES",NA,3,"CONTINUE WORKING",NA,NA,"MOD. SATISFIED","Male",7,NA,NA,NA,NA,"YAHOO",2,"Yes","Yes","Yes","Yes","INELIGIBLE",6,NA,NA,NA,"WORKING FULLTIME","CANCER"
"392",714,56,"50-59",NA,"High school",12,7,"BELOW AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,23750,14,NA,NA,"DIVORCED","high school","4+ to 10 hours",10,8,"STRONG REPUBLICAN","YES","DOLE",NA,NA,23750,14,"VERY SATISFIED","Male",5,NA,NA,NA,NA,NA,1,"Yes","Yes","Yes","Yes","VOTED",3,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"393",715,44,"40-49",0,"High school",12,NA,"BELOW AVERAGE","VERY HAPPY","PRETTY HAPPY",60,12,"Yes",50,45000,18,"ROUTINE",8,"MARRIED","high school",NA,NA,12,"IND,NEAR DEM","YES",NA,4,"STOP WORKING",16250,11,"VERY SATISFIED","Female",3,"HIGH SCHOOL",12,50,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"DID NOT VOTE",-1,12,"Yes",60,"WORKING FULLTIME","LIBRA"
"394",716,57,"50-59",0,"High school",12,0,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,12,"Yes",50,37500,17,NA,18,"MARRIED","high school","1+ to  4 hours",2,16,"STRONG REPUBLICAN","NO","DOLE",-2,NA,32500,16,"VERY SATISFIED","Male",7,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,2,"Yes","No","Yes","Yes","VOTED",2,12,"Yes",40,"WORKING FULLTIME","AQUARIUS"
"395",720,26,"18-29",NA,"High school",12,1,"BELOW AVERAGE",NA,"VERY HAPPY",45,NA,NA,NA,23750,14,"EXCITING",NA,"NEVER MARRIED","high school","1+ to  4 hours",3,12,"INDEPENDENT","YES","CLINTON",NA,NA,23750,14,"VERY SATISFIED","Female",6,NA,NA,NA,NA,"YAHOO",2,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","GEMINI"
"396",721,NA,"60-89",NA,"Junior college",14,7,"AVERAGE",NA,"NOT TOO HAPPY",56,NA,NA,NA,23750,14,"ROUTINE",12,"DIVORCED","junior college or more","More than 10",37,NA,"NOT STR DEMOCRAT","YES",NA,NA,"CONTINUE WORKING",23750,14,"MOD. SATISFIED","Male",1,NA,NA,NA,NA,"KEYSEARCH",1,"Yes","Yes","Yes","Yes",NA,30,NA,NA,NA,"WORKING FULLTIME","CANCER"
"397",723,37,"30-39",-4,"Bachelor",16,0.25,"ABOVE AVERAGE","VERY HAPPY","PRETTY HAPPY",50,16,"Yes",50,55000,19,NA,12,"MARRIED","junior college or more","4+ to 10 hours",8.25,12,"NOT STR REPUBLICAN","YES",NA,0,NA,27500,15,"MOD. SATISFIED","Male",5,"GRADUATE",20,40,"WORKING FULLTIME","YAHOO",4,"Yes","Yes","Yes","Yes","DID NOT VOTE",8,20,"Yes",40,"WORKING FULLTIME","PISCES"
"398",724,52,"50-59",4,"High school",12,NA,"AVERAGE","PRETTY HAPPY","VERY HAPPY",40,16,"Yes",40,27500,15,"ROUTINE",0,"MARRIED","high school",NA,NA,6,"NOT STR DEMOCRAT","YES","CLINTON",6,"CONTINUE WORKING",16250,11,"MOD. SATISFIED","Female",6,"BACHELOR",16,40,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"VOTED",-1,12,"Yes",40,"WORKING FULLTIME","VIRGO"
"399",725,45,"40-49",NA,"High school",14,2.5,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,55000,19,"EXCITING",14,"DIVORCED","high school","4+ to 10 hours",4.5,16,"IND,NEAR DEM","NO",NA,2,"STOP WORKING",55000,19,"VERY SATISFIED","Female",4,NA,NA,NA,NA,NA,2,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"400",727,63,"60-89",-3,"Less than HS",10,NA,"AVERAGE","VERY HAPPY","PRETTY HAPPY",45,10,"Yes",45,37500,17,"ROUTINE",12,"MARRIED","Lt than high school","Not Internet user",NA,12,"NOT STR REPUBLICAN","NO",NA,0,"CONTINUE WORKING",37500,17,"MOD. SATISFIED","Male",2,"HIGH SCHOOL",13,NA,"KEEPING HOUSE",NA,3,"No","No","No","No","DID NOT VOTE",-1,13,"No",NA,"WORKING FULLTIME","CAPRICORN"
"401",731,36,"30-39",3,"Junior college",15,1,"AVERAGE","VERY HAPPY","VERY HAPPY",40,15,"Yes",40,55000,19,"ROUTINE",12,"MARRIED","junior college or more","1+ to  4 hours",3,16,"INDEPENDENT",NA,"DOLE",4,"STOP WORKING",55000,19,"VERY SATISFIED","Male",0,"HIGH SCHOOL",12,40,"WORKING FULLTIME","YAHOO",NA,"Yes","Yes","Yes","Yes","VOTED",2,12,"Yes",40,"WORKING FULLTIME","LEO"
"402",739,52,"50-59",NA,"High school",14,1,"ABOVE AVERAGE",NA,"VERY HAPPY",40,NA,NA,NA,110000,23,"EXCITING",12,"SEPARATED","high school","1+ to  4 hours",4,13,"NOT STR REPUBLICAN",NA,"PEROT",1,"CONTINUE WORKING",110000,23,NA,"Male",5,NA,NA,NA,NA,"YAHOO",NA,"Yes","Yes","Yes","Yes","VOTED",3,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"403",741,49,"40-49",0,"Bachelor",16,5,"ABOVE AVERAGE","VERY HAPPY","PRETTY HAPPY",50,16,"Yes",50,110000,23,"EXCITING",12,"MARRIED","junior college or more","4+ to 10 hours",7,12,"STRONG REPUBLICAN","YES","DOLE",0,"CONTINUE WORKING",100000,22,"MOD. SATISFIED","Male",2,"BACHELOR",16,10,"WORKING PARTTIME",NA,1,"Yes","Yes","Yes","Yes","VOTED",2,16,"No",10,"WORKING FULLTIME","TAURUS"
"404",743,54,"50-59",-4,"High school",14,0,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",60,14,"Yes",60,110000,23,"ROUTINE",12,"MARRIED","high school","One hour or less",0.5,12,"IND,NEAR DEM","YES","CLINTON",0,"STOP WORKING",27500,15,"MOD. SATISFIED","Male",1,"GRADUATE",18,60,"WORKING FULLTIME",NA,2,"Yes","No","Yes","Yes","VOTED",0.5,18,"Yes",60,"WORKING FULLTIME","VIRGO"
"405",747,36,"30-39",NA,"Bachelor",16,1,"ABOVE AVERAGE","PRETTY HAPPY","PRETTY HAPPY",52,16,"Yes",52,67500,20,NA,18,"MARRIED","junior college or more","1+ to  4 hours",1.5,12,"IND,NEAR DEM","YES","PEROT",-6,NA,55000,19,"VERY SATISFIED","Male",2,"LT HIGH SCHOOL",NA,20,"WORKING PARTTIME",NA,1,"Yes","Yes","Yes","Yes","VOTED",0.5,NA,"No",20,"WORKING FULLTIME","PISCES"
"406",750,43,"40-49",0,"High school",12,1,"AVERAGE","NOT TOO HAPPY","PRETTY HAPPY",40,12,"Yes",40,45000,18,"EXCITING",8,"MARRIED","high school","One hour or less",1,8,"STRONG DEMOCRAT",NA,"CLINTON",0,"CONTINUE WORKING",32500,16,"MOD. SATISFIED","Female",4,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,2,"Yes","Yes","Yes","No","VOTED",0,12,"Yes",40,"WORKING FULLTIME","GEMINI"
"407",751,24,"18-29",0,"High school",12,NA,"AVERAGE","VERY HAPPY","NOT TOO HAPPY",33,12,"Yes",16,27500,15,NA,12,"MARRIED","high school","Not Internet user",NA,12,"NOT STR DEMOCRAT","YES","CLINTON",0,NA,16250,11,"MOD. SATISFIED","Female",0,"HIGH SCHOOL",12,16,"WORKING FULLTIME",NA,2,"No","No","No","No","VOTED",-1,12,"Yes",33,"WORKING FULLTIME","AQUARIUS"
"408",752,25,"18-29",0,"High school",12,1,"BELOW AVERAGE",NA,NA,43,12,"Yes",43,45000,18,"ROUTINE",10,"MARRIED","high school",NA,NA,12,"OTHER PARTY",NA,NA,2,"CONTINUE WORKING",27500,15,"A LITTLE DISSAT","Male",3,"HIGH SCHOOL",12,41,"WORKING FULLTIME",NA,NA,"Yes","Yes","Yes","No","DID NOT VOTE",-2,12,"Yes",41,"WORKING FULLTIME","AQUARIUS"
"409",753,32,"30-39",NA,"High school",12,NA,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",36,NA,"No",NA,37500,17,"ROUTINE",NA,"MARRIED","high school","Not Internet user",NA,NA,"INDEPENDENT",NA,NA,NA,"CONTINUE WORKING",13750,10,"VERY SATISFIED","Female",3,"LT HIGH SCHOOL",NA,NA,"UNEMPL, LAID OFF",NA,NA,"Yes","No","No","No","DID NOT VOTE",-1,12,"Yes",36,"WORKING FULLTIME","LEO"
"410",754,51,"50-59",-4,"Bachelor",16,4,"BELOW AVERAGE","PRETTY HAPPY","PRETTY HAPPY",37,12,"Yes",70,67500,20,"EXCITING",12,"MARRIED","junior college or more","More than 10",14,20,"IND,NEAR DEM","NO","CLINTON",8,"STOP WORKING",37500,17,"MOD. SATISFIED","Female",3,"HIGH SCHOOL",12,70,"WORKING FULLTIME","METACRAWLER",2,"Yes","Yes","Yes","Yes","VOTED",10,16,"Yes",37,"WORKING FULLTIME","TAURUS"
"411",755,56,"50-59",1,"High school",13,15,"BELOW AVERAGE","VERY HAPPY","VERY HAPPY",40,13,"Yes",40,27500,15,NA,7,"MARRIED","high school","More than 10",24,8,"STRONG DEMOCRAT","YES","CLINTON",1,NA,NA,NA,"MOD. SATISFIED","Male",5,"HIGH SCHOOL",12,40,"WORKING FULLTIME","YAHOO",1,"Yes","Yes","Yes","Yes","VOTED",9,12,"Yes",40,"WORKING FULLTIME","CANCER"
"412",762,52,"50-59",0,"High school",12,NA,"AVERAGE","VERY HAPPY","VERY HAPPY",40,12,"Yes",40,82500,21,"EXCITING",12,"MARRIED","high school",NA,NA,NA,"IND,NEAR DEM","YES","PEROT",NA,"STOP WORKING",55000,19,"MOD. SATISFIED","Male",0,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"VOTED",-1,12,"Yes",40,"WORKING FULLTIME","SCORPIO"
"413",763,56,"50-59",NA,"Bachelor",16,4,"AVERAGE",NA,"PRETTY HAPPY",50,NA,NA,NA,110000,23,NA,12,"NEVER MARRIED","junior college or more",NA,NA,12,"STRONG REPUBLICAN","NO","DOLE",0,NA,110000,23,"MOD. SATISFIED","Male",1,NA,NA,NA,NA,NA,2,"Yes","Yes","Yes","No","VOTED",-2,NA,NA,NA,"WORKING FULLTIME","ARIES"
"414",764,22,"18-29",NA,"High school",13,0.0833333333333333,"ABOVE AVERAGE",NA,"PRETTY HAPPY",45,NA,NA,NA,32500,16,"ROUTINE",14,"NEVER MARRIED","high school","One hour or less",0.0833333333333333,12,"NOT STR DEMOCRAT","YES",NA,-2,"CONTINUE WORKING",32500,16,"MOD. SATISFIED","Male",2,NA,NA,NA,NA,NA,3,"Yes","Yes","Yes","No","DID NOT VOTE",0,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"415",766,45,"40-49",2,"High school",14,0.5,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",50,14,"Yes",50,67500,20,"EXCITING",14,"MARRIED","high school",NA,NA,NA,"STRONG REPUBLICAN","YES","DOLE",NA,"STOP WORKING",67500,20,"VERY SATISFIED","Male",1,"HIGH SCHOOL",12,10,"WORKING PARTTIME",NA,2,"Yes","Yes","Yes","No","VOTED",-2,12,"No",10,"WORKING FULLTIME","TAURUS"
"416",768,36,"30-39",0,"High school",12,0.5,"BELOW AVERAGE","VERY HAPPY","VERY HAPPY",40,12,"No",NA,27500,15,"ROUTINE",12,"MARRIED","high school","1+ to  4 hours",1.5,14,"NOT STR DEMOCRAT","YES","CLINTON",2,"STOP WORKING",13750,10,"VERY SATISFIED","Female",1,"HIGH SCHOOL",12,NA,"UNEMPL, LAID OFF",NA,1,"Yes","Yes","Yes","Yes","VOTED",1,12,"Yes",40,"WORKING FULLTIME","LEO"
"417",771,24,"18-29",NA,"High school",12,1,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,27500,15,"ROUTINE",12,"NEVER MARRIED","high school","1+ to  4 hours",4,12,"NOT STR REPUBLICAN",NA,NA,0,"CONTINUE WORKING",27500,15,"VERY SATISFIED","Male",1,NA,NA,NA,NA,"LYCOS",NA,"Yes","Yes","Yes","Yes","DID NOT VOTE",3,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"418",773,44,"40-49",NA,"Less than HS",5,NA,"BELOW AVERAGE",NA,"NOT TOO HAPPY",40,NA,NA,NA,13750,10,"EXCITING",0,"DIVORCED","Lt than high school","Not Internet user",NA,0,"STRONG REPUBLICAN","YES",NA,0,"CONTINUE WORKING",13750,10,"VERY SATISFIED","Male",10,NA,NA,NA,NA,NA,8,"No","No","No","No","DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","LEO"
"419",774,44,"40-49",NA,"High school",13,NA,"BELOW AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,9000,8,"ROUTINE",16,"DIVORCED","high school","Not Internet user",NA,12,"INDEPENDENT",NA,NA,-4,"STOP WORKING",3500,3,"MOD. SATISFIED","Male",4,NA,NA,NA,NA,NA,NA,"No","No","No","No","DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"420",775,35,"30-39",NA,"Junior college",16,5,"ABOVE AVERAGE",NA,"PRETTY HAPPY",65,NA,NA,NA,32500,16,"ROUTINE",12,"NEVER MARRIED","junior college or more","More than 10",19,20,"IND,NEAR REP","YES","PEROT",8,"STOP WORKING",32500,16,"MOD. SATISFIED","Male",3,NA,NA,NA,NA,"YAHOO",3,"Yes","Yes","Yes","Yes","VOTED",14,NA,NA,NA,"WORKING FULLTIME","CANCER"
"421",778,27,"18-29",NA,"Bachelor",17,0.5,"ABOVE AVERAGE",NA,"VERY HAPPY",40,NA,NA,NA,2000,2,NA,14,"NEVER MARRIED","junior college or more","One hour or less",0.5,NA,"IND,NEAR REP","NO","DOLE",NA,NA,NA,NA,"MOD. SATISFIED","Male",1,NA,NA,NA,NA,NA,2,"Yes","Yes","Yes","No","VOTED",0,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"422",781,54,"50-59",NA,"High school",12,20,"BELOW AVERAGE",NA,"VERY HAPPY",40,NA,NA,NA,9000,8,"EXCITING",8,"DIVORCED","high school",NA,NA,8,"IND,NEAR DEM",NA,NA,0,"STOP WORKING",7500,7,"MOD. SATISFIED","Female",0,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","No","DID NOT VOTE",-2,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"423",782,45,"40-49",-1,"High school",13,15,"BELOW AVERAGE","PRETTY HAPPY","VERY HAPPY",43,12,"Yes",45,55000,19,"ROUTINE",12,"MARRIED","high school","More than 10",35,14,"NOT STR DEMOCRAT","YES","CLINTON",2,"CONTINUE WORKING",11250,9,"VERY SATISFIED","Female",5,"HIGH SCHOOL",12,45,"WORKING FULLTIME","UPROAR.COM",3,"Yes","Yes","Yes","Yes","VOTED",20,13,"Yes",43,"WORKING FULLTIME","SAGITTARIUS"
"424",785,38,"30-39",1,"High school",13,NA,"BELOW AVERAGE","PRETTY HAPPY","PRETTY HAPPY",40,13,"Yes",40,16250,11,NA,12,"MARRIED","high school","Not Internet user",NA,8,"NOT STR REPUBLICAN","YES","DOLE",-4,NA,16250,11,"MOD. SATISFIED","Male",2,"HIGH SCHOOL",12,10,"WORKING PARTTIME",NA,1,"Yes","No","No","No","VOTED",-1,12,"No",10,"WORKING FULLTIME","CAPRICORN"
"425",788,34,"30-39",NA,"High school",14,NA,"BELOW AVERAGE",NA,"PRETTY HAPPY",80,NA,NA,NA,23750,14,"ROUTINE",12,"DIVORCED","high school",NA,NA,12,"STRONG REPUBLICAN","YES","PEROT",0,"CONTINUE WORKING",18750,12,"VERY SATISFIED","Male",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOTED",-1,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"426",789,44,"40-49",NA,"High school",16,NA,"FAR BELOW AVERAGE",NA,"VERY HAPPY",21,NA,NA,NA,11250,9,NA,16,"DIVORCED","high school","Not Internet user",NA,16,"INDEPENDENT","YES",NA,0,NA,11250,9,"A LITTLE DISSAT","Female",1,NA,NA,NA,NA,NA,3,"No","No","No","No","DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","CANCER"
"427",790,30,"30-39",NA,"High school",12,0,"AVERAGE",NA,NA,80,NA,NA,NA,82500,21,NA,12,"NEVER MARRIED","high school","One hour or less",0.5,12,"NOT STR REPUBLICAN","NO",NA,0,NA,82500,21,"MOD. SATISFIED","Male",4,NA,NA,NA,NA,NA,1,"Yes","No","Yes","Yes","DID NOT VOTE",0.5,NA,NA,NA,"WORKING FULLTIME","LEO"
"428",791,39,"30-39",NA,"Bachelor",17,8,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,37500,17,NA,11,"NEVER MARRIED","junior college or more","More than 10",15,9,"IND,NEAR DEM","YES","CLINTON",-2,NA,32500,16,"A LITTLE DISSAT","Male",1,NA,NA,NA,NA,"ALTAVISTA",2,"Yes","Yes","Yes","Yes","VOTED",7,NA,NA,NA,"WORKING FULLTIME","SAGITTARIUS"
"429",792,50,"50-59",NA,"Bachelor",16,1,"AVERAGE",NA,"VERY HAPPY",50,NA,NA,NA,NA,24,"EXCITING",12,"DIVORCED","junior college or more","1+ to  4 hours",1.75,10,"IND,NEAR DEM","NO","OTHER (SPECIFY)",-2,"CONTINUE WORKING",NA,24,"VERY SATISFIED","Male",2,NA,NA,NA,NA,NA,10,"Yes","Yes","Yes","Yes","VOTED",0.75,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"430",793,48,"40-49",NA,"High school",12,40,"BELOW AVERAGE",NA,"PRETTY HAPPY",65,NA,NA,NA,32500,16,"EXCITING",12,"DIVORCED","high school","More than 10",55,12,NA,NA,NA,0,"CONTINUE WORKING",6500,6,"VERY SATISFIED","Female",3,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","REFUSED TO ANSWR",15,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"431",794,34,"30-39",0,"High school",12,NA,"AVERAGE","PRETTY HAPPY","PRETTY HAPPY",50,12,"Yes",50,45000,18,"ROUTINE",12,"MARRIED","high school","Not Internet user",NA,6,"INDEPENDENT","YES","PEROT",-6,"STOP WORKING",32500,16,"MOD. SATISFIED","Male",3,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,4,"No","No","No","No","VOTED",-1,12,"Yes",40,"WORKING FULLTIME","AQUARIUS"
"432",795,61,"60-89",4,"Less than HS",8,NA,"AVERAGE","VERY HAPPY","VERY HAPPY",32,12,"Yes",40,27500,15,NA,12,"MARRIED","Lt than high school","Not Internet user",NA,12,"STRONG DEMOCRAT","YES","CLINTON",0,NA,18750,12,"VERY SATISFIED","Female",4,"HIGH SCHOOL",12,40,"WORKING FULLTIME",NA,3,"No","No","No","No","VOTED",-1,8,"Yes",32,"WORKING FULLTIME","LEO"
"433",796,47,"40-49",NA,"Bachelor",17,3,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,67500,20,"ROUTINE",13,"NEVER MARRIED","junior college or more","4+ to 10 hours",9,12,"IND,NEAR DEM",NA,"CLINTON",-1,"STOP WORKING",45000,18,"MOD. SATISFIED","Male",1,NA,NA,NA,NA,"MSN",NA,"Yes","Yes","Yes","Yes","VOTED",6,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"434",797,44,"40-49",0,"Bachelor",16,NA,"AVERAGE",NA,"VERY HAPPY",40,16,"Yes",40,45000,18,"EXCITING",4,"MARRIED","junior college or more","Not Internet user",NA,4,"INDEPENDENT","YES",NA,0,"CONTINUE WORKING",18750,12,"MOD. SATISFIED","Female",3,"BACHELOR",16,40,"WORKING FULLTIME",NA,NA,"No","No","No","No","DID NOT VOTE",-1,16,"Yes",40,"WORKING FULLTIME","SAGITTARIUS"
"435",798,44,"40-49",NA,"Junior college",15,0.25,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,16250,11,"ROUTINE",9,"SEPARATED","junior college or more",NA,NA,9,"STRONG DEMOCRAT","YES","CLINTON",0,"CONTINUE WORKING",11250,9,"MOD. SATISFIED","Male",8,NA,NA,NA,NA,NA,3,"Yes","Yes","Yes","No","VOTED",-2,NA,NA,NA,"WORKING FULLTIME","CAPRICORN"
"436",799,32,"30-39",2,"Graduate",20,2,"AVERAGE","VERY HAPPY","VERY HAPPY",45,20,"Yes",45,21250,13,"EXCITING",12,"MARRIED","junior college or more","1+ to  4 hours",3,13,"IND,NEAR REP",NA,"OTHER (SPECIFY)",1,"CONTINUE WORKING",NA,NA,"VERY SATISFIED","Male",1,"BACHELOR",18,NA,"KEEPING HOUSE","LYCOS",NA,"Yes","Yes","Yes","Yes","VOTED",1,18,"No",NA,"WORKING FULLTIME","LEO"
